Nome,Desenvolvedora,copias_vendidas,ano_de_publicacao,lucro
World of Fantasy,Game Studios Inc.,15,2020,2.5
Galactic Warfare,Space Games Co.,10,2019,1.8
Epic Quest,Adventure Creations,8,2021,1.2
Cyber Legends,Tech Innovators,12,2018,2.0
Pirate's Cove,Sea Adventures Ltd.,7,2017,1.5
Mystic Realms,Fantasy Games LLC,9,2022,1.7
Future Battlefields,FutureTech Games,11,2016,2.3
Wild West Outlaws,Frontier Studios,6,2023,1.0
Mythical Realms,Mythical Games,13,2015,2.8
Underwater Odyssey,DeepSea Entertainment,5,2014,0.9